質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答者730,2,39,4,2,9,9,13,3,12,2,2,2,3,3,2,2,3,3,3,2,6,3,4,2,3,2,3,2,2,2,2,2,3,2,2,2,3,2
回答者731,2,35,4,2,9,9,13,3,13,3,2,4,3,2,2,4,3,2,4,2,8,3,2,2,2,2,3,3,2,3,3,3,2,3,3,3,3,2
回答者732,2,38,4,2,9,9,13,3,19,4,3,5,5,1,3,3,3,3,4,4,4,1,5,3,5,4,5,2,5,4,1,4,5,4,5,3,5,5
回答者733,2,44,5,2,9,9,13,3,13,3,3,3,3,3,3,3,4,4,3,1,4,3,5,4,7,4,3,3,3,3,3,3,3,3,3,3,3,3
回答者734,1,42,5,2,9,9,13,3,13,3,4,3,5,1,2,5,1,2,4,1,6,1,1,1,5,2,4,2,5,5,1,3,4,2,1,5,5,1
回答者735,2,43,5,2,9,9,13,3,13,3,3,3,2,3,2,5,3,3,3,2,4,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3,4,4
回答者736,1,41,5,2,9,9,13,3,13,3,1,2,3,3,3,3,1,1,3,3,4,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3
回答者737,2,41,5,2,9,9,13,3,13,3,2,2,3,3,3,3,1,1,1,1,1,1,3,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者738,1,41,5,2,9,9,13,3,13,3,4,2,1,1,1,1,4,1,3,2,4,2,3,2,7,1,2,3,3,4,3,2,1,1,1,2,3,2
回答者739,2,49,6,2,9,9,13,3,13,3,2,3,3,3,3,3,4,4,3,3,4,4,5,5,6,3,3,4,3,3,3,3,3,3,3,3,3,3
回答者740,1,47,6,2,9,9,13,3,13,3,1,2,1,1,1,1,1,1,2,3,8,1,5,3,2,1,1,3,4,4,3,3,3,3,3,2,3,2
回答者741,1,48,6,2,9,9,13,3,13,3,2,2,5,5,3,5,3,4,5,1,8,3,5,3,3,4,2,4,4,3,4,2,4,4,4,2,3,4
回答者742,2,45,6,2,9,9,13,3,13,3,2,4,3,3,5,2,4,1,3,3,4,3,4,5,5,3,3,4,3,5,3,3,3,3,5,3,3,3
回答者743,2,46,6,2,9,9,13,3,13,3,4,4,2,1,1,2,2,3,1,1,8,2,5,5,3,2,2,2,2,4,1,3,4,2,1,2,4,2
回答者744,2,45,6,2,9,9,13,3,13,3,2,3,3,2,3,3,4,1,4,5,8,1,3,2,6,2,2,3,4,4,4,3,4,4,5,4,4,4
回答者745,1,49,6,2,9,9,13,3,13,3,3,3,3,3,3,3,3,4,3,3,2,3,5,5,7,3,2,3,4,4,3,3,3,2,3,3,3,3
回答者746,1,47,6,2,9,9,13,3,13,3,3,3,5,3,5,5,3,4,5,3,8,5,5,5,6,1,3,5,3,5,3,5,5,1,3,3,5,3
回答者747,1,46,6,2,9,9,13,3,13,3,2,2,2,2,3,4,3,1,4,3,6,3,4,2,4,3,2,3,3,4,3,3,3,3,2,2,4,3
回答者748,1,45,6,2,9,9,13,3,13,3,5,5,3,1,1,2,2,3,5,1,1,1,3,1,5,4,5,5,5,5,1,5,5,5,5,5,5,1
回答者749,1,47,6,2,9,9,13,3,13,3,3,4,5,3,3,4,3,4,5,3,8,3,5,5,7,2,3,4,3,4,2,4,4,3,3,3,4,3
回答者750,1,48,6,2,9,9,13,3,13,3,3,3,3,3,3,3,3,1,4,2,8,4,3,2,3,4,3,5,3,3,2,4,3,3,2,2,3,3
回答者751,1,46,6,2,9,9,13,3,11,2,3,2,3,3,3,3,5,4,3,3,4,3,5,5,3,4,3,5,3,5,3,3,3,3,3,3,3,3
回答者752,1,53,7,2,9,9,13,3,13,3,2,2,2,1,2,2,2,1,2,1,1,2,4,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2
回答者753,1,54,7,2,9,9,13,3,13,3,4,5,4,3,4,5,5,4,5,2,1,3,5,4,7,2,4,3,2,5,4,3,2,3,2,2,4,4
回答者754,1,51,7,2,9,9,13,3,13,3,2,2,3,3,3,5,2,1,3,2,1,4,5,5,7,4,3,3,3,4,3,3,2,2,3,3,3,3
回答者755,2,50,7,2,9,9,13,3,13,3,4,3,3,5,2,5,3,4,4,3,4,4,5,5,3,2,4,4,4,3,3,3,3,3,2,2,5,3
回答者756,2,51,7,2,9,9,13,3,13,3,4,4,4,4,4,4,4,3,5,5,8,4,4,4,6,5,5,5,5,4,5,5,4,4,4,5,5,4
回答者757,2,50,7,2,9,9,13,3,13,3,4,3,2,2,2,5,3,1,3,3,1,2,5,3,5,2,2,3,2,3,2,2,2,2,2,2,2,2
回答者758,1,54,7,2,9,9,13,3,11,2,3,2,3,4,4,4,3,4,3,3,1,3,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3
回答者759,1,52,7,2,9,9,13,3,13,3,2,4,3,3,3,3,3,4,3,3,1,3,4,3,3,2,2,2,2,2,3,3,3,3,2,2,3,3
回答者760,1,51,7,2,9,9,13,3,13,3,4,4,4,4,4,3,2,4,4,4,4,1,2,1,2,3,4,5,5,5,5,5,5,5,4,5,5,5
回答者761,1,53,7,2,9,9,13,3,13,3,2,2,2,2,2,2,2,1,2,2,4,2,2,2,4,3,4,4,5,5,4,4,3,4,2,4,4,3
回答者762,1,52,7,2,9,9,13,3,13,3,3,3,3,3,3,3,3,3,4,1,6,3,4,4,6,2,2,2,3,3,3,2,3,3,3,3,3,3
回答者763,1,53,7,2,9,9,13,3,13,3,4,4,4,4,2,4,4,3,4,1,1,2,5,5,2,4,2,2,4,4,2,2,2,2,2,1,2,1
回答者764,1,54,7,2,9,9,13,3,13,3,3,3,3,3,3,3,3,4,3,3,4,2,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
回答者765,1,51,7,2,9,9,13,3,13,3,2,3,4,4,3,3,2,1,2,1,2,3,5,5,3,4,3,4,3,4,2,2,3,3,3,4,4,3
回答者766,1,54,7,2,9,9,13,3,13,3,2,2,3,2,3,2,2,1,3,3,3,2,4,4,3,2,3,2,2,2,3,3,2,3,3,3,2,2
回答者767,1,50,7,2,9,9,13,3,12,2,2,2,3,1,2,3,2,1,3,4,2,3,5,5,2,2,1,2,1,2,2,2,2,2,2,2,2,1
回答者768,1,57,8,2,9,9,13,3,13,3,4,4,4,3,3,2,4,4,4,1,3,4,3,3,4,4,4,3,1,5,1,4,5,5,3,4,4,3
回答者769,1,55,8,2,9,9,13,3,12,2,3,3,3,3,3,3,4,4,3,4,4,3,5,5,4,3,2,3,3,3,3,3,3,3,3,3,3,3
回答者770,1,59,8,2,9,9,13,3,13,3,2,2,2,4,3,4,4,4,2,3,6,3,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者771,1,55,8,2,9,9,13,3,14,2,3,3,3,4,3,3,3,4,3,2,2,4,5,5,6,1,2,1,3,2,4,1,2,1,1,1,2,2
回答者772,2,58,8,2,9,9,13,3,13,3,1,2,2,1,1,4,1,1,2,1,1,4,3,2,6,2,1,1,1,1,2,2,2,2,2,1,3,1
回答者773,2,55,8,2,9,9,13,3,13,3,3,3,4,2,3,3,2,1,4,2,8,1,1,1,3,3,4,4,3,3,3,4,2,3,3,4,4,3
回答者774,1,57,8,2,9,9,13,3,11,2,2,2,2,2,2,2,3,4,3,2,4,2,5,4,3,3,2,3,2,3,2,4,3,3,3,2,3,3
回答者775,1,57,8,2,9,9,13,3,8,2,2,3,3,3,3,3,4,1,4,4,4,4,5,5,3,2,2,3,3,3,3,3,2,2,4,3,3,3
回答者776,1,57,8,2,9,9,13,3,13,3,3,3,3,3,3,3,2,1,2,2,2,2,3,4,5,4,3,4,4,3,3,3,2,4,2,3,4,4
回答者777,1,63,9,2,9,9,13,3,11,2,3,3,4,2,3,2,2,3,5,5,8,3,3,3,5,4,4,4,4,4,4,4,5,4,4,4,5,5
回答者778,1,61,9,2,9,9,13,3,13,3,3,3,4,3,3,3,3,4,4,4,4,3,2,2,4,3,3,3,3,4,3,4,3,3,3,3,3,3
回答者779,1,65,9,2,9,9,13,3,13,3,3,3,4,4,3,3,5,4,3,4,8,3,5,5,6,2,2,3,2,3,2,2,3,3,2,2,2,3
回答者780,2,65,9,2,9,9,13,3,13,3,3,3,1,3,3,4,4,4,2,1,8,4,5,5,3,4,2,3,2,2,2,2,2,2,1,2,2,2
回答者781,1,60,9,2,9,9,13,3,13,3,2,2,1,2,2,2,2,2,2,1,4,2,2,2,2,2,1,2,2,3,2,2,1,2,2,2,1,2
回答者782,1,62,9,2,9,9,13,3,11,2,2,2,2,2,2,2,3,1,2,2,1,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者783,1,24,1,2,9,9,21,4,21,4,1,2,2,4,4,1,4,3,2,2,4,4,5,5,2,2,4,5,2,4,2,2,2,2,4,3,3,2
回答者784,1,24,1,2,9,9,23,4,23,4,1,1,1,3,3,3,3,4,2,1,1,3,5,5,3,3,3,3,3,3,3,3,3,2,3,2,3,3
回答者785,2,24,1,2,9,9,23,4,23,4,2,2,2,2,1,1,3,1,2,4,8,4,5,3,2,2,1,1,2,3,3,1,1,1,3,1,3,3
回答者786,2,27,2,2,9,9,17,4,17,4,2,2,3,2,2,2,2,2,2,4,6,1,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3
回答者787,2,25,2,2,9,9,21,4,23,4,2,3,4,2,2,3,4,3,1,2,4,2,4,4,4,2,2,2,4,5,3,1,2,2,1,3,3,1
回答者788,1,28,2,2,9,9,15,4,15,4,3,3,3,3,3,3,3,4,3,2,4,4,4,3,4,3,4,4,4,5,3,4,3,3,3,4,3,3
回答者789,2,29,2,2,9,9,15,4,15,4,2,2,4,2,2,4,2,1,2,1,1,1,2,4,6,2,2,2,2,4,2,4,4,4,4,3,4,2
回答者790,1,26,2,2,9,9,23,4,23,4,3,3,2,3,3,3,3,1,2,2,8,3,4,5,3,3,3,2,3,3,3,3,3,3,3,2,3,3
回答者791,1,26,2,2,9,9,23,4,21,4,1,2,4,2,3,4,1,1,3,3,4,4,5,5,3,5,5,5,5,5,4,3,4,4,5,5,5,5
回答者792,2,33,3,2,9,9,23,4,23,4,3,3,2,3,2,2,2,3,2,1,6,1,5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者793,1,33,3,2,9,9,23,4,23,4,2,3,3,3,3,3,3,2,2,2,3,2,3,2,4,3,3,3,3,3,3,2,2,2,2,2,2,2
回答者794,1,33,3,2,9,9,21,4,21,4,3,3,4,3,3,2,5,4,3,3,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者795,1,35,4,2,9,9,17,4,17,4,3,3,2,3,3,3,4,1,2,4,4,2,3,2,5,2,4,4,4,4,4,3,3,4,4,4,3,4
回答者796,1,35,4,2,9,9,22,4,22,4,1,1,1,1,3,5,1,1,1,5,1,1,2,1,6,1,1,4,1,1,2,4,1,1,1,1,1,1
回答者797,1,39,4,2,9,9,16,4,16,4,3,2,1,2,2,2,2,1,3,4,2,3,4,4,2,2,1,2,2,4,2,2,3,1,2,2,4,1
回答者798,1,39,4,2,9,9,23,4,23,4,3,3,2,1,1,1,1,1,3,1,8,1,2,1,3,3,3,4,2,5,1,5,5,4,5,5,5,5
回答者799,1,36,4,2,9,9,23,4,23,4,1,2,3,2,5,3,4,2,2,4,8,3,5,5,6,2,2,3,2,2,3,2,3,2,2,2,3,2
回答者800,1,38,4,2,9,9,15,4,15,4,3,3,3,3,3,3,3,1,3,3,4,3,3,3,7,3,3,3,3,4,3,3,3,3,3,3,3,3
回答者801,1,39,4,2,9,9,16,4,16,4,2,2,2,1,2,3,2,1,2,2,6,3,4,4,2,2,2,1,2,4,2,2,2,1,4,2,4,2
回答者802,1,35,4,2,9,9,24,4,24,4,5,4,5,5,5,5,5,4,5,5,8,3,4,4,4,4,2,2,3,5,3,4,2,2,2,4,2,2
回答者803,1,35,4,2,9,9,24,4,23,4,5,3,3,2,4,3,3,4,5,5,8,3,4,3,3,5,5,2,3,4,3,4,2,2,3,2,3,2
回答者804,1,42,5,2,9,9,23,4,23,4,2,3,3,5,5,5,5,4,5,3,4,3,5,5,3,3,3,5,3,5,2,5,4,4,5,5,5,5
回答者805,1,42,5,2,9,9,23,4,23,4,3,3,5,3,3,3,3,3,4,1,4,4,4,3,4,3,5,3,4,4,4,4,3,4,4,2,4,4
回答者806,1,42,5,2,9,9,24,4,24,4,5,5,5,5,5,5,3,3,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
回答者807,1,40,5,2,9,9,21,4,21,4,2,2,1,2,3,3,2,1,2,4,2,2,5,3,5,2,2,2,3,3,2,1,2,2,1,2,2,1
回答者808,1,41,5,2,9,9,15,4,15,4,5,5,4,4,4,4,4,4,4,3,4,3,5,4,7,3,4,4,4,4,4,4,4,4,5,3,3,3
回答者809,1,40,5,2,9,9,23,4,23,4,4,5,4,1,5,4,4,1,5,1,4,3,4,1,4,5,5,5,4,4,3,4,3,4,5,4,5,3
回答者810,1,40,5,2,9,9,15,4,15,4,4,3,3,3,3,2,2,1,4,2,6,1,3,2,7,3,4,3,4,3,3,3,4,4,3,4,4,4
回答者811,1,43,5,2,9,9,21,4,21,4,2,2,3,3,5,2,2,1,3,2,1,5,5,5,5,1,2,3,4,4,2,3,3,2,2,2,3,3
回答者812,1,44,5,2,9,9,22,4,22,4,3,3,4,5,3,3,5,3,5,2,4,5,5,4,7,2,2,2,2,2,3,3,3,2,3,2,4,4
回答者813,1,47,6,2,9,9,24,4,24,4,4,3,4,2,4,3,5,3,5,4,4,2,5,5,6,2,2,3,2,2,2,4,4,3,3,1,4,4
回答者814,2,48,6,2,9,9,23,4,23,4,2,3,2,3,3,3,3,4,5,3,4,3,4,2,6,2,3,5,5,5,3,5,5,5,4,5,5,5
回答者815,1,47,6,2,9,9,17,4,17,4,3,2,2,3,2,3,4,4,2,5,4,5,5,5,4,2,3,2,3,4,2,2,2,2,3,2,2,2
回答者816,1,49,6,2,9,9,15,4,15,4,2,3,4,3,3,2,5,4,4,3,8,4,5,4,6,3,3,3,2,3,2,2,3,3,2,3,3,2
回答者817,1,45,6,2,9,9,23,4,23,4,2,3,4,5,5,4,5,4,5,3,4,4,5,5,3,3,2,2,3,3,3,2,3,2,1,2,3,3
回答者818,1,49,6,2,9,9,19,4,19,4,4,3,4,3,4,3,3,3,3,4,2,3,4,2,7,3,3,2,4,3,3,3,3,2,2,3,3,3
回答者819,2,47,6,2,9,9,23,4,21,4,4,4,4,5,5,5,5,4,5,3,4,3,5,3,4,3,2,3,4,4,3,4,3,3,3,3,4,4
回答者820,1,45,6,2,9,9,23,4,23,4,5,3,3,4,3,4,3,4,3,2,4,4,5,3,6,3,3,3,3,3,3,3,3,3,3,3,4,4
回答者821,1,45,6,2,9,9,23,4,23,4,1,3,4,5,5,4,5,4,3,2,4,3,5,5,3,2,3,2,3,2,3,2,3,3,2,2,3,3
回答者822,1,48,6,2,9,9,22,4,22,4,3,3,3,3,4,3,4,3,2,4,4,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,4,3
回答者823,1,48,6,2,9,9,22,4,22,4,4,3,3,3,2,3,2,3,2,2,4,4,3,3,6,3,3,3,3,3,3,4,3,3,3,2,3,3
回答者824,1,48,6,2,9,9,23,4,23,4,2,5,3,5,1,1,2,4,2,1,8,2,5,2,2,2,2,2,5,2,2,2,2,2,1,1,1,1
回答者825,1,46,6,2,9,9,23,4,21,4,2,2,5,2,2,5,5,1,5,3,1,5,5,5,3,5,1,5,5,4,2,3,5,5,5,5,5,3
回答者826,1,54,7,2,9,9,18,4,17,4,2,4,3,3,4,3,3,3,3,2,4,2,4,2,3,2,2,3,3,4,3,3,2,2,3,3,3,3
回答者827,1,52,7,2,9,9,16,4,16,4,5,3,3,2,3,3,3,4,4,4,5,4,5,5,4,5,2,5,4,4,4,3,4,4,3,4,3,3
回答者828,2,51,7,2,9,9,21,4,21,4,1,1,3,2,2,4,2,1,1,1,8,2,3,3,3,2,2,4,2,4,3,2,3,3,4,3,4,3
回答者829,1,50,7,2,9,9,24,4,24,4,1,1,4,3,5,2,4,3,2,4,4,3,5,5,6,2,2,3,4,4,2,4,3,3,2,3,3,2
回答者830,1,50,7,2,9,9,23,4,23,4,4,3,2,2,2,2,2,1,3,2,8,3,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3
回答者831,2,51,7,2,9,9,15,4,15,4,1,1,1,1,1,3,4,3,4,2,1,4,5,5,3,2,2,3,3,5,1,4,4,4,5,2,5,3
回答者832,2,54,7,2,9,9,22,4,22,4,3,3,3,4,3,2,3,4,3,3,8,2,5,5,3,3,4,3,4,3,4,4,3,4,4,4,4,3
回答者833,1,53,7,2,9,9,23,4,23,4,3,5,3,4,3,5,3,4,5,2,1,3,5,2,5,3,3,4,5,5,2,5,5,5,5,5,5,3
回答者834,1,54,7,2,9,9,20,4,20,4,3,3,4,4,3,3,5,4,3,3,4,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者835,1,50,7,2,9,9,15,4,15,4,4,4,3,3,2,3,4,3,3,3,4,3,5,5,2,5,3,3,2,3,2,3,3,2,3,2,3,5
回答者836,1,52,7,2,9,9,22,4,22,4,2,3,3,2,2,5,3,3,2,3,2,3,2,2,6,2,2,2,3,3,3,2,2,3,3,3,3,3
回答者837,1,52,7,2,9,9,23,4,23,4,2,3,4,4,3,3,4,4,2,4,4,3,3,3,6,2,2,3,3,4,2,3,3,3,3,3,4,3
回答者838,1,54,7,2,9,9,23,4,23,4,3,3,3,2,2,2,3,3,4,4,4,3,3,2,4,3,3,4,4,4,2,4,3,4,4,4,3,3
回答者839,1,50,7,2,9,9,23,4,23,4,2,3,2,2,2,2,3,2,3,4,3,3,4,4,4,3,3,3,3,2,4,3,4,2,2,3,3,3
回答者840,1,52,7,2,9,9,16,4,16,4,2,3,3,3,4,4,3,3,3,4,4,3,4,3,3,3,3,2,4,3,3,3,3,3,4,4,4,4
回答者841,1,50,7,2,9,9,22,4,22,4,3,3,3,3,3,4,3,3,2,3,8,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3
回答者842,1,59,8,2,9,9,24,4,23,4,2,2,4,4,3,3,4,4,4,4,8,5,5,5,4,5,3,2,4,3,4,3,2,2,2,3,3,2
回答者843,1,55,8,2,9,9,16,4,16,4,5,2,5,5,2,2,5,4,5,5,4,5,5,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者844,1,58,8,2,9,9,22,4,28,5,5,5,2,1,1,5,3,1,5,5,4,5,5,3,3,5,1,5,5,5,1,3,5,5,1,1,5,1
回答者845,1,58,8,2,9,9,23,4,23,4,2,3,3,2,3,3,3,4,3,3,8,3,5,5,4,2,3,4,3,4,3,4,3,4,3,3,3,3
回答者846,1,59,8,2,9,9,24,4,23,4,2,3,4,3,4,4,5,4,3,3,8,3,5,5,3,4,3,2,2,4,4,3,2,2,2,3,4,2
回答者847,2,59,8,2,9,9,23,4,23,4,4,4,4,4,4,4,3,4,3,3,4,3,5,5,3,4,4,2,3,3,3,3,3,3,3,3,3,3
回答者848,2,59,8,2,9,9,22,4,22,4,3,4,3,2,4,4,3,2,5,1,1,1,4,3,2,2,2,3,3,3,2,3,3,3,1,2,3,4
回答者849,2,56,8,2,9,9,23,4,23,4,4,3,3,3,4,3,3,3,3,3,8,3,3,4,7,4,2,3,3,3,3,3,3,3,3,3,3,3
回答者850,1,56,8,2,9,9,20,4,20,4,2,2,2,3,2,4,3,1,2,4,2,3,4,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3
回答者851,1,55,8,2,9,9,23,4,23,4,2,3,2,2,3,3,3,3,3,3,4,3,2,2,3,2,2,3,3,3,3,3,3,3,4,2,3,2
回答者852,1,58,8,2,9,9,23,4,23,4,3,3,4,3,3,3,5,4,3,1,4,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者853,1,59,8,2,9,9,21,4,21,4,3,3,3,2,3,3,3,3,3,2,8,3,4,2,3,3,3,4,3,3,2,4,3,3,3,3,3,3
回答者854,1,58,8,2,9,9,23,4,23,4,2,3,2,2,2,2,3,1,3,1,1,2,3,1,3,2,1,2,3,3,2,2,3,3,3,3,3,2
回答者855,1,57,8,2,9,9,23,4,23,4,5,5,5,5,5,5,5,4,5,1,4,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者856,1,64,9,2,9,9,23,4,23,4,2,2,4,4,4,3,4,4,3,3,4,2,1,2,4,3,2,3,2,3,3,3,3,2,2,2,3,3
回答者857,1,63,9,2,9,9,15,4,15,4,2,2,2,3,4,4,3,4,3,3,1,5,5,5,5,2,2,2,2,3,2,3,2,2,2,2,2,2
回答者858,1,61,9,2,9,9,17,4,17,4,1,2,3,5,2,2,4,4,4,3,4,4,5,5,2,2,2,2,2,2,2,2,2,2,1,1,3,2
回答者859,1,62,9,2,9,9,23,4,23,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者860,1,63,9,2,9,9,20,4,20,4,1,4,2,2,1,3,3,3,3,2,8,4,4,4,2,2,2,2,4,2,2,2,2,3,4,2,3,2
回答者861,1,62,9,2,9,9,15,4,15,4,2,3,2,2,3,3,3,3,4,3,3,2,4,3,4,3,4,4,3,3,3,4,3,4,3,4,4,4
回答者862,1,64,9,2,9,9,15,4,15,4,1,2,2,3,1,2,2,1,3,1,5,1,2,2,2,2,2,2,3,3,2,2,3,3,2,2,3,3
回答者863,1,61,9,2,9,9,23,4,23,4,2,3,4,3,3,3,4,4,3,5,8,5,5,5,4,3,2,3,4,3,3,3,3,3,3,3,3,3
回答者864,1,60,9,2,9,9,23,4,23,4,2,3,4,3,3,4,4,3,2,2,1,3,4,4,4,2,2,3,3,2,2,3,3,3,3,3,3,2
回答者865,2,23,1,2,9,9,27,5,27,5,2,2,2,3,3,3,4,3,2,3,2,2,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者866,1,24,1,2,9,9,28,5,28,5,5,5,5,5,5,5,3,3,3,3,4,3,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者867,1,29,2,2,9,9,27,5,27,5,5,4,5,4,2,2,4,3,2,4,4,2,5,5,4,4,5,2,2,4,2,2,3,3,4,3,2,3
回答者868,2,29,2,2,9,9,27,5,27,5,2,2,5,5,5,5,5,3,3,4,4,5,5,5,7,3,3,3,3,3,3,3,3,3,3,3,4,3
回答者869,2,27,2,2,9,9,27,5,27,5,2,1,3,2,2,2,2,4,2,2,8,2,5,5,2,1,2,1,2,2,1,2,1,2,1,1,2,2
回答者870,2,27,2,2,9,9,27,5,26,5,2,3,3,3,3,4,3,3,2,2,7,4,1,2,7,4,3,3,3,3,3,3,3,4,4,2,3,3
回答者871,1,27,2,2,9,9,26,5,26,5,2,2,1,1,1,3,1,2,2,1,2,2,2,2,2,3,1,2,3,2,2,1,1,2,1,3,2,2
回答者872,1,29,2,2,9,9,27,5,26,5,1,1,1,1,1,1,1,1,1,1,7,1,1,1,5,2,5,2,5,5,1,2,3,4,4,4,3,5
回答者873,1,32,3,2,9,9,27,5,27,5,5,5,5,5,5,5,4,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者874,1,32,3,2,9,9,27,5,27,5,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,3,1,2,3,2,3,4,1
回答者875,2,33,3,2,9,9,27,5,27,5,2,3,3,2,2,4,2,1,2,2,4,2,1,2,3,4,4,3,3,4,3,3,5,4,4,5,5,4
回答者876,1,34,3,2,9,9,27,5,27,5,3,1,3,3,3,2,5,4,5,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2
回答者877,1,33,3,2,9,9,27,5,27,5,3,3,3,3,3,5,2,1,2,4,5,2,2,3,3,2,3,3,3,3,3,3,4,2,3,3,3,3
回答者878,2,32,3,2,9,9,27,5,29,5,3,3,4,2,4,3,3,3,4,4,4,2,4,2,4,4,2,3,4,4,1,2,3,3,3,3,3,3
回答者879,1,36,4,2,9,9,27,5,27,5,5,5,5,5,5,5,5,4,5,5,8,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者880,1,37,4,2,9,9,28,5,28,5,2,4,4,4,4,4,4,4,4,1,1,5,5,5,6,3,4,2,2,3,3,2,4,4,2,2,4,4
回答者881,1,35,4,2,9,9,26,5,26,5,3,2,5,3,3,2,2,1,2,2,1,1,1,1,2,3,3,2,3,3,3,2,4,3,3,4,3,3
回答者882,1,37,4,2,9,9,27,5,27,5,4,4,4,4,4,4,3,4,4,4,4,5,4,5,5,3,4,4,4,4,4,4,4,4,3,3,3,4
回答者883,2,37,4,2,9,9,28,5,28,5,3,3,2,3,3,2,3,1,5,2,4,3,5,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3
回答者884,2,37,4,2,9,9,27,5,27,5,1,1,2,2,2,4,2,1,2,1,1,5,5,5,1,1,1,4,3,2,3,2,1,1,4,1,1,4
回答者885,1,35,4,2,9,9,28,5,28,5,5,3,3,3,4,3,3,2,2,2,3,2,4,2,2,2,2,3,2,1,2,3,3,2,3,2,2,3
